URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-27,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Royal_Aeronautical_Society,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-notenoughwomen_40-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-28,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/M4_corridor,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 3 hits,Tesla - 3 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Michael_Faraday,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 2 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-dorothyfrs-8,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-gautengcc.co.za-33,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Banff_National_Park,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-allfrs_2-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-allfrs_2-1,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-allfrs_2-2,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-allfrs_2-3,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-allfrs_2-4,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-32,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-30,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Special:Contributions/Qyd,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Wikipedia:Requests_for_comment/All,Numbers are ,Musk - 5 hits,Elon Mask - 0 hits,Total - 5 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-31,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-36,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/User_talk:Bruin2,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Media,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-37,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Paper,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-34,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-maddox_28-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-35,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#Fellowships,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Museums,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Military,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-manchester-19,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-23,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-38,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-39,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-jarsbm-29,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-elections_1-5,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/User:Bruin2,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-elections_1-6,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-elections_1-3,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-elections_1-4,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-27,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Montreal,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-gender-38,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-wikimediablog_45-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Tertiary_education,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-elections_1-1,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-elections_1-2,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Nature_reserves,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-40,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Patrick_Bamford,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-notenoughwomen-40,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-elections_1-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Central_business_district,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-43,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/France,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-44,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Protected_areas/Cleanup_listing,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Serbia,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 9 hits,Tesla - 9 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-41,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-42,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#The_Dequar_Road_Base,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-45,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-14,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-9,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-12,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-13,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/J._J._Thomson,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 2 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-6,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-admissions-43,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-5,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-4,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Telecommunications_in_the_United_Kingdom,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 1 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Serbian_Academy_of_Sciences_and_Arts,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 1 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-crickrsbm-10,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/District_municipality,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Stanford_University,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 1 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-Obituary-11,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-geimfrs_41-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#Selection,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-auto-5,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://commons.wikimedia.org/wiki/Main_Page,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-NOAA_Pret.-13,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-tor-49,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Vodacom,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 1 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-frscharles_31-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-icr_17-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/OpenStreetMap,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 1 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/District,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-47,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Secondary_education,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Elon_Musk#mw-head,Numbers are ,Musk - 654 hits,Elon Mask - 0 hits,Total - 879 hits,Tesla - 215 hits,Gigafactory - 10 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Military_colleges,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-44,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-aberdeen_21-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/File:Wiki_letter_w_cropped.svg,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-DWD-14,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-wikimediablog-45,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#Research_Fellowships_and_other_awards,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-sectional_42-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#mw-head,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-og-47,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/List_of_fellows_of_the_Royal_Society_elected_in_2018,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/List_of_fellows_of_the_Royal_Society_M,_N,_O,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Culture,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-pre-46,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Climate,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Buses,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Ethnic_groups,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Buddhist_community,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fort_McMurray,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://ms.wikipedia.org/wiki/Fellow_of_the_Royal_Society,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Regional_municipality,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Television,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Environment,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 5 hits,Tesla - 5 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Wikipedia:Dashboard#Requested_edits,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-industry_52-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-Keeler2011-25,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/w/index.php?title=Fellow_of_the_Royal_Society&action=history,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/University_of_California,_Berkeley,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 3 hits,Tesla - 3 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Transito_Air_Force_Headquarters,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Primary_education,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Seether,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/w/index.php?title=Kirk_Hammett&action=edit,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 1 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-jardine_30-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#Admission,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Jacaranda_city,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Military_headquarters,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-subra-7,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#Pretoria_Creole,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_ref-crickrsbm_10-0,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Glossary_of_electrical_and_electronics_engineering,Numbers are ,Musk - 0 hits,Elon Mask - 0 hits,Total - 3 hits,Tesla - 3 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-elections-1,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#cite_note-frsanne-32,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Martin_Rees,_Baron_Rees_of_Ludlow,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/SS_Cotati,Numbers are ,Musk - 1 hits,Elon Mask - 0 hits,Total - 1 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Pretoria#cite_note-boh-48,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
URl - https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society#Honorary_Fellow,Numbers are ,Musk - 2 hits,Elon Mask - 0 hits,Total - 2 hits,Tesla - 0 hits,Gigafactory - 0 hits,
